Rank,Item,Major Group,Family Group,Menu Class,Total Net Sales,Total Qty Sold,Avg Price,Discount,Discount Pct,Rev Contribution Pct,Cumulative Rev Pct
665,Warm Chicken Liver Parfait,Food,Starter,Star,22033.64,163,135.18,-18.28,-0.08,0.0075,98.5329
666,Krone Blanc De Blanc Nectar Demi,Beverage,Ent - Sparkling Wine,Star,21966.18,80,274.58,0.0,0.0,0.0075,98.5404
667,Gin Martini ,Beverage,Ent - Cocktails,Star,21853.370000000003,225,97.13,0.0,0.0,0.0074,98.5478
668,Bayab Orange & Marula 750ml,Beverage,Ent - White Spirits,Puzzle,21731.53,18,1207.31,0.0,0.0,0.0074,98.5552
669,Reyneke Organic Shiraz/Cab GLS,Beverage,Ent - Red Wine,Star,21670.17,241,89.92,-16.24,-0.07,0.0074,98.5626
670,Chef's Table with Wine,Food,Banqueting - Cocktail ,Puzzle,21659.34,14,1547.1,0.0,0.0,0.0074,98.57
671,Cederberg Sauvignon Blanc,Beverage,Ent - White Wine,Puzzle,21555.55,49,439.91,-180.49,-0.83,0.0073,98.5773
672,Ken Forrester Savigon Reserve 75,Beverage,Ent - White Wine,Puzzle,21523.96,48,448.42,0.0,0.0,0.0073,98.5846
673,Ghost Corner Pinot Noir ,Beverage,Ent - Red Wine,Puzzle,21371.45,36,593.65,-107.39,-0.5,0.0073,98.5919
674,Tanqueray No 10 750ml,Beverage,Ent - White Spirits,Puzzle,21251.42,12,1770.95,0.0,0.0,0.0072,98.5991
675,Veuve Cliquot Extra Brut Extra O,Beverage,Ent - Sparkling Wine,Puzzle,21117.85,6,3519.64,0.0,0.0,0.0072,98.6063
676,Jug Of Fresh Juice,Beverage,Ent - Minerals Softdrink,Star,21068.22,176,119.71,0.0,0.0,0.0072,98.6135
677,Dom Perignon Rose,Beverage,Ent - Sparkling Wine,Puzzle,21009.56,5,4201.91,-5252.39,-20.0,0.0071,98.6206
678,Tomato C.tail Halls 200ml,Beverage,Ent - Minerals Juice / Smoothies,Star,20724.91,513,40.4,-7.58,-0.04,0.007,98.6276
679,Malfy Italian Gin,Beverage,Ent - White Spirits,Star,20699.11,343,60.35,-21.66,-0.1,0.007,98.6346
